trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled
OCESN006741F0700711106,12:20:00,12:20:00,StopPoint:OCETGV INOUI-87718007,4,"",0,0,
OCESN006751F0400411301,20:49:00,20:49:00,StopPoint:OCETGV INOUI-87686006,0,"",0,0,
OCESN006751F0400411301,21:55:00,21:58:00,StopPoint:OCETGV INOUI-87713131,1,"",0,0,
OCESN006751F0400411301,22:32:00,22:36:00,StopPoint:OCETGV INOUI-87713040,2,"",0,0,
OCESN006751F0400411301,22:58:00,23:01:00,StopPoint:OCETGV INOUI-87713412,3,"",0,0,
OCESN006751F0400411301,23:26:00,23:26:00,StopPoint:OCETGV INOUI-87718007,4,"",0,0,
OCESN006741F0500511103,09:52:00,09:52:00,StopPoint:OCETGV INOUI-87686006,0,"",0,0,
OCESN006741F0500511103,10:57:00,11:00:00,StopPoint:OCETGV INOUI-87713131,1,"",0,0,
OCESN006741F0500511103,11:33:00,11:37:00,StopPoint:OCETGV INOUI-87713040,2,"",0,0,
OCESN006741F0500511103,12:05:00,12:08:00,StopPoint:OCETGV INOUI-87300863,3,"",0,0,
OCESN006741F0500511103,12:20:00,12:20:00,StopPoint:OCETGV INOUI-87718007,4,"",0,0,
OCESN006745F0900916996,16:52:00,16:52:00,StopPoint:OCETGV INOUI-87686006,0,"",0,0,
OCESN006745F0900916996,17:55:00,17:58:00,StopPoint:OCETGV INOUI-87713131,1,"",0,0,
OCESN006745F0900916996,18:32:00,18:36:00,StopPoint:OCETGV INOUI-87713040,2,"",0,0,
OCESN006745F0900916996,18:58:00,19:01:00,StopPoint:OCETGV INOUI-87713412,3,"",0,0,
OCESN006745F0900916996,19:24:00,19:24:00,StopPoint:OCETGV INOUI-87718007,4,"",0,0,
OCESN006741F0300311105,09:52:00,09:52:00,StopPoint:OCETGV INOUI-87686006,0,"",0,0,
OCESN006741F0300311105,10:55:00,10:58:00,StopPoint:OCETGV INOUI-87713131,1,"",0,0,
OCESN006741F0300311105,11:32:00,11:36:00,StopPoint:OCETGV INOUI-87713040,2,"",0,0,
OCESN006741F0300311105,12:05:00,12:08:00,StopPoint:OCETGV INOUI-87300863,3,"",0,0,
OCESN006741F0300311105,12:20:00,12:20:00,StopPoint:OCETGV INOUI-87718007,4,"",0,0,
OCESN006745F1401416994,16:48:00,16:48:00,StopPoint:OCETGV INOUI-87686006,0,"",0,0,
OCESN006745F1401416994,17:55:00,17:58:00,StopPoint:OCETGV INOUI-87713131,1,"",0,0,
OCESN006745F1401416994,18:32:00,18:36:00,StopPoint:OCETGV INOUI-87713040,2,"",0,0,
OCESN006745F1401416994,18:58:00,19:01:00,StopPoint:OCETGV INOUI-87713412,3,"",0,0,
OCESN006745F1401416994,19:24:00,19:24:00,StopPoint:OCETGV INOUI-87718007,4,"",0,0,
OCESN006745F1501516997,16:52:00,16:52:00,StopPoint:OCETGV INOUI-87686006,0,"",0,0,
OCESN006745F1501516997,17:55:00,17:58:00,StopPoint:OCETGV INOUI-87713131,1,"",0,0,
OCESN006745F1501516997,18:32:00,18:36:00,StopPoint:OCETGV INOUI-87713040,2,"",0,0,
OCESN006745F1501516997,18:58:00,19:01:00,StopPoint:OCETGV INOUI-87713412,3,"",0,0,
OCESN006745F1501516997,19:24:00,19:24:00,StopPoint:OCETGV INOUI-87718007,4,"",0,0,
OCESN006753F3003033,21:06:00,21:06:00,StopPoint:OCETGV INOUI-87686006,0,"",0,0,
OCESN006753F3003033,22:08:00,22:11:00,StopPoint:OCETGV INOUI-87713131,1,"",0,0,
OCESN006753F3003033,22:48:00,22:51:00,StopPoint:OCETGV INOUI-87713040,2,"",0,0,
OCESN006753F3003033,23:27:00,23:27:00,StopPoint:OCETGV INOUI-87718007,3,"",0,0,
OCESN006753F2502531,21:06:00,21:06:00,StopPoint:OCETGV INOUI-87686006,0,"",0,0,
OCESN006753F2502531,22:08:00,22:14:00,StopPoint:OCETGV INOUI-87713131,1,"",0,0,
OCESN006753F2502531,22:51:00,22:54:00,StopPoint:OCETGV INOUI-87713040,2,"",0,0,
OCESN006753F2502531,23:30:00,23:30:00,StopPoint:OCETGV INOUI-87718007,3,"",0,0,
OCESN006781F0100111862,16:50:00,16:50:00,StopPoint:OCETGV INOUI-87686006,0,"",0,0,
OCESN006781F0100111862,17:55:00,17:58:00,StopPoint:OCETGV INOUI-87713131,1,"",0,0,
OCESN006781F0100111862,18:32:00,18:44:00,StopPoint:OCETGV INOUI-87713040,2,"",0,0,
OCESN006781F0100111862,19:03:00,19:05:00,StopPoint:OCETGV INOUI-87713545,3,"",0,0,
OCESN006781F0100111862,19:25:00,19:25:00,StopPoint:OCETGV INOUI-87725002,4,"",0,0,
OCESN006781F0400411860,16:50:00,16:50:00,StopPoint:OCETGV INOUI-87686006,0,"",0,0,
OCESN006781F0400411860,17:55:00,17:58:00,StopPoint:OCETGV INOUI-87713131,1,"",0,0,
OCESN006781F0400411860,18:32:00,18:44:00,StopPoint:OCETGV INOUI-87713040,2,"",0,0,
OCESN006781F0400411860,19:03:00,19:05:00,StopPoint:OCETGV INOUI-87713545,3,"",0,0,
OCESN006781F0400411860,19:22:00,19:22:00,StopPoint:OCETGV INOUI-87725002,4,"",0,0,
OCESN006781F0300311858,16:52:00,16:52:00,StopPoint:OCETGV INOUI-87686006,0,"",0,0,
OCESN006781F0300311858,17:55:00,17:58:00,StopPoint:OCETGV INOUI-87713131,1,"",0,0,
OCESN006781F0300311858,18:32:00,18:44:00,StopPoint:OCETGV INOUI-87713040,2,"",0,0,
OCESN006781F0300311858,19:03:00,19:05:00,StopPoint:OCETGV INOUI-87713545,3,"",0,0,
OCESN006781F0300311858,19:22:00,19:22:00,StopPoint:OCETGV INOUI-87725002,4,"",0,0,
OCESN006783F040046825,18:50:00,18:50:00,StopPoint:OCETGV INOUI-87686006,0,"",0,0,
OCESN006783F040046825,19:55:00,19:58:00,StopPoint:OCETGV INOUI-87713131,1,"",0,0,
OCESN006783F040046825,20:32:00,20:44:00,StopPoint:OCETGV INOUI-87713040,2,"",0,0,
OCESN006783F040046825,21:04:00,21:07:00,StopPoint:OCETGV INOUI-87713545,3,"",0,0,
OCESN006783F040046825,21:25:00,21:25:00,StopPoint:OCETGV INOUI-87725002,4,"",0,0,
OCESN006783F030036826,18:52:00,18:52:00,StopPoint:OCETGV INOUI-87686006,0,"",0,0,
OCESN006783F030036826,19:55:00,19:58:00,StopPoint:OCETGV INOUI-87713131,1,"",0,0,
OCESN006783F030036826,20:32:00,20:44:00,StopPoint:OCETGV INOUI-87713040,2,"",0,0,
OCESN006783F030036826,21:04:00,21:07:00,StopPoint:OCETGV INOUI-87713545,3,"",0,0,
OCESN006783F030036826,21:25:00,21:25:00,StopPoint:OCETGV INOUI-87725002,4,"",0,0,
OCESN006733F0100111825,15:22:00,15:22:00,StopPoint:OCETGV INOUI-87686006,0,"",0,0,
OCESN006733F0100111825,16:57:00,16:57:00,StopPoint:OCETGV INOUI-87713040,1,"",0,0,
OCESN006731F0200219596,13:55:00,13:55:00,StopPoint:OCETGV INOUI-87686006,0,"",0,0,
OCESN006731F0200219596,15:00:00,15:02:00,StopPoint:OCETGV INOUI-87713131,1,"",0,0,
OCESN006731F0200219596,15:38:00,15:38:00,StopPoint:OCETGV INOUI-87713040,2,"",0,0,
OCESN006733F0200211826,15:20:00,15:20:00,StopPoint:OCETGV INOUI-87686006,0,"",0,0,
OCESN006733F0200211826,16:57:00,16:57:00,StopPoint:OCETGV INOUI-87713040,1,"",0,0,
OCESN006731F0100119593,13:56:00,13:56:00,StopPoint:OCETGV INOUI-87686006,0,"",0,0,
OCESN006731F0100119593,15:00:00,15:02:00,StopPoint:OCETGV INOUI-87713131,1,"",0,0,
OCESN006731F0100119593,15:38:00,15:38:00,StopPoint:OCETGV INOUI-87713040,2,"",0,0,
OCESN006715F0700725997,20:19:00,20:19:00,StopPoint:OCETGV INOUI-87686006,0,"",0,0,
OCESN006715F0700725997,21:57:00,22:06:00,StopPoint:OCETGV INOUI-87713040,1,"",0,0,
OCESN006715F0700725997,22:33:00,22:36:00,StopPoint:OCETGV INOUI-87300863,2,"",0,0,
OCESN006715F0700725997,22:57:00,23:00:00,StopPoint:OCETGV INOUI-87300822,3,"",0,0,
OCESN006715F0700725997,23:22:00,23:22:00,StopPoint:OCETGV INOUI-87182063,4,"",0,0,
OCESN006713F0400411724,19:18:00,19:18:00,StopPoint:OCETGV INOUI-87686006,0,"",0,0,
OCESN006713F0400411724,20:57:00,21:01:00,StopPoint:OCETGV INOUI-87713040,1,"",0,0,
OCESN006713F0400411724,21:28:00,21:31:00,StopPoint:OCETGV INOUI-87300863,2,"",0,0,
OCESN006713F0400411724,21:52:00,21:55:00,StopPoint:OCETGV INOUI-87300822,3,"",0,0,
OCESN006713F0400411724,22:17:00,22:17:00,StopPoint:OCETGV INOUI-87182063,4,"",0,0,
OCESN006703F070077111,09:19:00,09:19:00,StopPoint:OCETGV INOUI-87686006,0,"",0,0,
OCESN006703F070077111,10:25:00,10:28:00,StopPoint:OCETGV INOUI-87713131,1,"",0,0,
OCESN006703F070077111,11:01:00,11:05:00,StopPoint:OCETGV INOUI-87713040,2,"",0,0,
OCESN006703F070077111,11:31:00,11:34:00,StopPoint:OCETGV INOUI-87300863,3,"",0,0,
OCESN006703F070077111,11:55:00,11:58:00,StopPoint:OCETGV INOUI-87300822,4,"",0,0,
OCESN006703F070077111,12:20:00,12:20:00,StopPoint:OCETGV INOUI-87182063,5,"",0,0,
OCESN006701F0500511989,06:51:00,06:51:00,StopPoint:OCETGV INOUI-87686006,0,"",0,0,
OCESN006701F0500511989,07:56:00,07:59:00,StopPoint:OCETGV INOUI-87713131,1,"",0,0,
OCESN006701F0500511989,08:33:00,08:37:00,StopPoint:OCETGV INOUI-87713040,2,"",0,0,
OCESN006701F0500511989,09:05:00,09:08:00,StopPoint:OCETGV INOUI-87300863,3,"",0,0,
OCESN006701F0500511989,09:30:00,09:33:00,StopPoint:OCETGV INOUI-87300822,4,"",0,0,
OCESN006701F0500511989,09:56:00,09:56:00,StopPoint:OCETGV INOUI-87182063,5,"",0,0,
OCESN006711F0300319856,18:50:00,18:50:00,StopPoint:OCETGV INOUI-87686006,0,"",0,0,
OCESN006711F0300319856,19:55:00,19:58:00,StopPoint:OCETGV INOUI-87713131,1,"",0,0,
OCESN006711F0300319856,20:32:00,20:36:00,StopPoint:OCETGV INOUI-87713040,2,"",0,0,
OCESN006711F0300319856,21:02:00,21:05:00,StopPoint:OCETGV INOUI-87300863,3,"",0,0,
OCESN006711F0300319856,21:28:00,21:31:00,StopPoint:OCETGV INOUI-87300822,4,"",0,0,
OCESN006711F0300319856,21:53:00,21:53:00,StopPoint:OCETGV INOUI-87182063,5,"",0,0,
OCESN006711F0100119855,18:52:00,18:52:00,StopPoint:OCETGV INOUI-87686006,0,"",0,0,
OCESN006711F0100119855,19:55:00,19:58:00,StopPoint:OCETGV INOUI-87713131,1,"",0,0,
OCESN006711F0100119855,20:32:00,20:36:00,StopPoint:OCETGV INOUI-87713040,2,"",0,0,
OCESN006711F0100119855,21:02:00,21:05:00,StopPoint:OCETGV INOUI-87300863,3,"",0,0,
OCESN006711F0100119855,21:28:00,21:31:00,StopPoint:OCETGV INOUI-87300822,4,"",0,0,
OCESN006711F0100119855,21:53:00,21:53:00,StopPoint:OCETGV INOUI-87182063,5,"",0,0,
OCESN006713F0500511725,19:18:00,19:18:00,StopPoint:OCETGV INOUI-87686006,0,"",0,0,
OCESN006713F0500511725,20:57:00,21:01:00,StopPoint:OCETGV INOUI-87713040,1,"",0,0,
OCESN006713F0500511725,21:28:00,21:31:00,StopPoint:OCETGV INOUI-87300863,2,"",0,0,
OCESN006713F0500511725,21:52:00,21:55:00,StopPoint:OCETGV INOUI-87300822,3,"",0,0,
OCESN006713F0500511725,22:17:00,22:17:00,StopPoint:OCETGV INOUI-87182063,4,"",0,0,
OCESN006713F0100111727,19:22:00,19:22:00,StopPoint:OCETGV INOUI-87686006,0,"",0,0,
OCESN006713F0100111727,20:57:00,21:01:00,StopPoint:OCETGV INOUI-87713040,1,"",0,0,
OCESN006713F0100111727,21:28:00,21:31:00,StopPoint:OCETGV INOUI-87300863,2,"",0,0,
OCESN006713F0100111727,21:52:00,21:55:00,StopPoint:OCETGV INOUI-87300822,3,"",0,0,
OCESN006713F0100111727,22:17:00,22:17:00,StopPoint:OCETGV INOUI-87182063,4,"",0,0,
OCESN006713F0300311728,19:19:00,19:19:00,StopPoint:OCETGV INOUI-87686006,0,"",0,0,
OCESN006713F0300311728,20:57:00,21:01:00,StopPoint:OCETGV INOUI-87713040,1,"",0,0,
OCESN006713F0300311728,21:28:00,21:31:00,StopPoint:OCETGV INOUI-87300863,2,"",0,0,
OCESN006713F0300311728,21:52:00,21:55:00,StopPoint:OCETGV INOUI-87300822,3,"",0,0,
OCESN006713F0300311728,22:17:00,22:17:00,StopPoint:OCETGV INOUI-87182063,4,"",0,0,
OCESN006715F0600626001,20:19:00,20:19:00,StopPoint:OCETGV INOUI-87686006,0,"",0,0,
OCESN006715F0600626001,21:57:00,22:06:00,StopPoint:OCETGV INOUI-87713040,1,"",0,0,
OCESN006715F0600626001,22:33:00,22:36:00,StopPoint:OCETGV INOUI-87300863,2,"",0,0,
OCESN006715F0600626001,22:57:00,23:00:00,StopPoint:OCETGV INOUI-87300822,3,"",0,0,
OCESN006715F0600626001,23:22:00,23:22:00,StopPoint:OCETGV INOUI-87182063,4,"",0,0,
OCESN006715F0100125999,20:22:00,20:22:00,StopPoint:OCETGV INOUI-87686006,0,"",0,0,
OCESN006715F0100125999,21:57:00,22:06:00,StopPoint:OCETGV INOUI-87713040,1,"",0,0,
OCESN006715F0100125999,22:33:00,22:36:00,StopPoint:OCETGV INOUI-87300863,2,"",0,0,
OCESN006715F0100125999,22:57:00,23:00:00,StopPoint:OCETGV INOUI-87300822,3,"",0,0,
OCESN006715F0100125999,23:22:00,23:22:00,StopPoint:OCETGV INOUI-87182063,4,"",0,0,
OCESN006705F060063105,11:22:00,11:22:00,StopPoint:OCETGV INOUI-87686006,0,"",0,0,
OCESN006705F060063105,12:57:00,13:01:00,StopPoint:OCETGV INOUI-87713040,1,"",0,0,
OCESN006705F060063105,13:28:00,13:31:00,StopPoint:OCETGV INOUI-87300863,2,"",0,0,
OCESN006705F060063105,13:52:00,13:55:00,StopPoint:OCETGV INOUI-87300822,3,"",0,0,
OCESN006705F060063105,14:17:00,14:17:00,StopPoint:OCETGV INOUI-87182063,4,"",0,0,
OCESN006705F080083106,11:21:00,11:21:00,StopPoint:OCETGV INOUI-87686006,0,"",0,0,
OCESN006705F080083106,12:59:00,13:03:00,StopPoint:OCETGV INOUI-87713040,1,"",0,0,
OCESN006705F080083106,13:29:00,13:32:00,StopPoint:OCETGV INOUI-87300863,2,"",0,0,
OCESN006705F080083106,13:53:00,13:56:00,StopPoint:OCETGV INOUI-87300822,3,"",0,0,
OCESN006705F080083106,14:17:00,14:17:00,StopPoint:OCETGV INOUI-87182063,4,"",0,0,
OCESN006707F060066181,16:50:00,16:50:00,StopPoint:OCETGV INOUI-87686006,0,"",0,0,
OCESN006707F060066181,17:55:00,17:58:00,StopPoint:OCETGV INOUI-87713131,1,"",0,0,
OCESN006707F060066181,18:32:00,18:36:00,StopPoint:OCETGV INOUI-87713040,2,"",0,0,
OCESN006707F060066181,19:05:00,19:08:00,StopPoint:OCETGV INOUI-87300863,3,"",0,0,
OCESN006707F060066181,19:29:00,19:32:00,StopPoint:OCETGV INOUI-87300822,4,"",0,0,
OCESN006707F060066181,19:55:00,19:55:00,StopPoint:OCETGV INOUI-87182063,5,"",0,0,
OCESN006709F040047328,17:22:00,17:22:00,StopPoint:OCETGV INOUI-87686006,0,"",0,0,
OCESN006709F040047328,18:57:00,19:01:00,StopPoint:OCETGV INOUI-87713040,1,"",0,0,
OCESN006709F040047328,19:28:00,19:31:00,StopPoint:OCETGV INOUI-87300863,2,"",0,0,
OCESN006709F040047328,19:52:00,19:55:00,StopPoint:OCETGV INOUI-87300822,3,"",0,0,
OCESN006709F040047328,20:17:00,20:17:00,StopPoint:OCETGV INOUI-87182063,4,"",0,0,
OCESN006707F090096183,16:50:00,16:50:00,StopPoint:OCETGV INOUI-87686006,0,"",0,0,
OCESN006707F090096183,17:55:00,17:58:00,StopPoint:OCETGV INOUI-87713131,1,"",0,0,
OCESN006707F090096183,18:32:00,18:36:00,StopPoint:OCETGV INOUI-87713040,2,"",0,0,
OCESN006707F090096183,19:05:00,19:08:00,StopPoint:OCETGV INOUI-87300863,3,"",0,0,
OCESN006707F090096183,19:29:00,19:32:00,StopPoint:OCETGV INOUI-87300822,4,"",0,0,
OCESN006707F090096183,19:55:00,19:55:00,StopPoint:OCETGV INOUI-87182063,5,"",0,0,
OCESN006707F080086182,16:52:00,16:52:00,StopPoint:OCETGV INOUI-87686006,0,"",0,0,
OCESN006707F080086182,17:55:00,17:58:00,StopPoint:OCETGV INOUI-87713131,1,"",0,0,
OCESN006707F080086182,18:32:00,18:36:00,StopPoint:OCETGV INOUI-87713040,2,"",0,0,
OCESN006707F080086182,19:05:00,19:08:00,StopPoint:OCETGV INOUI-87300863,3,"",0,0,
OCESN006707F080086182,19:29:00,19:32:00,StopPoint:OCETGV INOUI-87300822,4,"",0,0,
OCESN006707F080086182,19:55:00,19:55:00,StopPoint:OCETGV INOUI-87182063,5,"",0,0,
OCESN006705F090093107,11:21:00,11:21:00,StopPoint:OCETGV INOUI-87686006,0,"",0,0,
OCESN006705F090093107,12:57:00,13:01:00,StopPoint:OCETGV INOUI-87713040,1,"",0,0,
OCESN006705F090093107,13:28:00,13:31:00,StopPoint:OCETGV INOUI-87300863,2,"",0,0,
OCESN006705F090093107,13:52:00,13:55:00,StopPoint:OCETGV INOUI-87300822,3,"",0,0,
OCESN006705F090093107,14:17:00,14:17:00,StopPoint:OCETGV INOUI-87182063,4,"",0,0,
OCESN006705F030033108,11:22:00,11:22:00,StopPoint:OCETGV INOUI-87686006,0,"",0,0,
OCESN006705F030033108,12:59:00,13:03:00,StopPoint:OCETGV INOUI-87713040,1,"",0,0,
OCESN006705F030033108,13:29:00,13:32:00,StopPoint:OCETGV INOUI-87300863,2,"",0,0,
OCESN006705F030033108,13:53:00,13:56:00,StopPoint:OCETGV INOUI-87300822,3,"",0,0,
OCESN006705F030033108,14:17:00,14:17:00,StopPoint:OCETGV INOUI-87182063,4,"",0,0,
OCESN006709F050057327,17:17:00,17:17:00,StopPoint:OCETGV INOUI-87686006,0,"",0,0,
OCESN006709F050057327,18:57:00,19:01:00,StopPoint:OCETGV INOUI-87713040,1,"",0,0,
OCESN006709F050057327,19:28:00,19:31:00,StopPoint:OCETGV INOUI-87300863,2,"",0,0,
OCESN006709F050057327,19:52:00,19:55:00,StopPoint:OCETGV INOUI-87300822,3,"",0,0,
OCESN006709F050057327,20:17:00,20:17:00,StopPoint:OCETGV INOUI-87182063,4,"",0,0,
OCESN006703F090097112,09:22:00,09:22:00,StopPoint:OCETGV INOUI-87686006,0,"",0,0,
OCESN006703F090097112,10:25:00,10:28:00,StopPoint:OCETGV INOUI-87713131,1,"",0,0,
OCESN006703F090097112,11:01:00,11:05:00,StopPoint:OCETGV INOUI-87713040,2,"",0,0,
OCESN006703F090097112,11:31:00,11:34:00,StopPoint:OCETGV INOUI-87300863,3,"",0,0,
OCESN006703F090097112,11:55:00,11:58:00,StopPoint:OCETGV INOUI-87300822,4,"",0,0,
OCESN006703F090097112,12:20:00,12:20:00,StopPoint:OCETGV INOUI-87182063,5,"",0,0,
OCESN006715F0300325996,20:19:00,20:19:00,StopPoint:OCETGV INOUI-87686006,0,"",0,0,
OCESN006715F0300325996,21:57:00,22:06:00,StopPoint:OCETGV INOUI-87713040,1,"",0,0,
OCESN006715F0300325996,22:33:00,22:36:00,StopPoint:OCETGV INOUI-87300863,2,"",0,0,
OCESN006715F0300325996,22:57:00,23:00:00,StopPoint:OCETGV INOUI-87300822,3,"",0,0,
OCESN006715F0300325996,23:22:00,23:22:00,StopPoint:OCETGV INOUI-87182063,4,"",0,0,
OCESN006762F0800816134,06:37:00,06:37:00,StopPoint:OCETGV INOUI-87718007,0,"",0,0,
OCESN006762F0800816134,06:49:00,06:52:00,StopPoint:OCETGV INOUI-87300863,1,"",0,0,
OCESN006762F0800816134,07:20:00,07:24:00,StopPoint:OCETGV INOUI-87713040,2,"",0,0,
OCESN006762F0800816134,07:58:00,08:03:00,StopPoint:OCETGV INOUI-87713131,3,"",0,0,
OCESN006762F0800816134,09:14:00,09:14:00,StopPoint:OCETGV INOUI-87686006,4,"",0,0,
OCESN006768F0200222503,20:37:00,20:37:00,StopPoint:OCETGV INOUI-87718007,0,"",0,0,
OCESN006768F0200222503,20:49:00,20:52:00,StopPoint:OCETGV INOUI-87300863,1,"",0,0,
OCESN006768F0200222503,21:22:00,21:26:00,StopPoint:OCETGV INOUI-87713040,2,"",0,0,
OCESN006768F0200222503,23:06:00,23:06:00,StopPoint:OCETGV INOUI-87686006,3,"",0,0,
OCESN006764F0200211563,18:37:00,18:37:00,StopPoint:OCETGV INOUI-87718007,0,"",0,0,
OCESN006764F0200211563,18:49:00,18:52:00,StopPoint:OCETGV INOUI-87300863,1,"",0,0,
OCESN006764F0200211563,19:22:00,19:26:00,StopPoint:OCETGV INOUI-87713040,2,"",0,0,
OCESN006764F0200211563,19:59:00,20:02:00,StopPoint:OCETGV INOUI-87713131,3,"",0,0,
OCESN006764F0200211563,21:08:00,21:08:00,StopPoint:OCETGV INOUI-87686006,4,"",0,0,
OCESN006760F020023928,05:33:00,05:33:00,StopPoint:OCETGV INOUI-87718007,0,"",0,0,
OCESN006760F020023928,05:55:00,05:58:00,StopPoint:OCETGV INOUI-87713412,1,"",0,0,
OCESN006760F020023928,06:21:00,06:25:00,StopPoint:OCETGV INOUI-87713040,2,"",0,0,
OCESN006760F020023928,06:57:00,07:00:00,StopPoint:OCETGV INOUI-87713131,3,"",0,0,
OCESN006760F020023928,08:07:00,08:07:00,StopPoint:OCETGV INOUI-87686006,4,"",0,0,
OCESN006762F1001016127,06:37:00,06:37:00,StopPoint:OCETGV INOUI-87718007,0,"",0,0,
OCESN006762F1001016127,06:49:00,06:52:00,StopPoint:OCETGV INOUI-87300863,1,"",0,0,
OCESN006762F1001016127,07:20:00,07:24:00,StopPoint:OCETGV INOUI-87713040,2,"",0,0,
OCESN006762F1001016127,07:58:00,08:03:00,StopPoint:OCETGV INOUI-87713131,3,"",0,0,
OCESN006762F1001016127,09:15:00,09:15:00,StopPoint:OCETGV INOUI-87686006,4,"",0,0,
OCESN006762F0100116130,06:37:00,06:37:00,StopPoint:OCETGV INOUI-87718007,0,"",0,0,
OCESN006762F0100116130,06:49:00,06:52:00,StopPoint:OCETGV INOUI-87300863,1,"",0,0,
OCESN006762F0100116130,07:20:00,07:24:00,StopPoint:OCETGV INOUI-87713040,2,"",0,0,
OCESN006762F0100116130,07:58:00,08:01:00,StopPoint:OCETGV INOUI-87713131,3,"",0,0,
OCESN006762F0100116130,09:08:00,09:08:00,StopPoint:OCETGV INOUI-87686006,4,"",0,0,
OCESN006768F0100122502,20:37:00,20:37:00,StopPoint:OCETGV INOUI-87718007,0,"",0,0,
OCESN006768F0100122502,20:49:00,20:52:00,StopPoint:OCETGV INOUI-87300863,1,"",0,0,
OCESN006768F0100122502,21:22:00,21:26:00,StopPoint:OCETGV INOUI-87713040,2,"",0,0,
OCESN006768F0100122502,23:04:00,23:04:00,StopPoint:OCETGV INOUI-87686006,3,"",0,0,
OCESN006766F0100123719,19:35:00,19:35:00,StopPoint:OCETGV INOUI-87718007,0,"",0,0,
OCESN006766F0100123719,19:56:00,19:59:00,StopPoint:OCETGV INOUI-87713412,1,"",0,0,
OCESN006766F0100123719,20:23:00,20:27:00,StopPoint:OCETGV INOUI-87713040,2,"",0,0,
OCESN006766F0100123719,22:13:00,22:13:00,StopPoint:OCETGV INOUI-87686006,3,"",0,0,
OCESN006766F0300323717,20:03:00,20:03:00,StopPoint:OCETGV INOUI-87718007,0,"",0,0,
OCESN006766F0300323717,20:29:00,20:32:00,StopPoint:OCETGV INOUI-87713412,1,"",0,0,
OCESN006766F0300323717,20:55:00,20:59:00,StopPoint:OCETGV INOUI-87713040,2,"",0,0,
OCESN006766F0300323717,22:42:00,22:42:00,StopPoint:OCETGV INOUI-87686006,3,"",0,0,
OCESN006766F0400423720,20:03:00,20:03:00,StopPoint:OCETGV INOUI-87718007,0,"",0,0,
OCESN006766F0400423720,20:29:00,20:32:00,StopPoint:OCETGV INOUI-87713412,1,"",0,0,
OCESN006766F0400423720,20:55:00,20:59:00,StopPoint:OCETGV INOUI-87713040,2,"",0,0,
OCESN006766F0400423720,22:44:00,22:44:00,StopPoint:OCETGV INOUI-87686006,3,"",0,0,
OCESN006762F0700716128,06:37:00,06:37:00,StopPoint:OCETGV INOUI-87718007,0,"",0,0,
